"# Todas as Categorias","Categoria - Alicates","Alicates"
"# Todas as Categorias","Categoria - Artigos Religiosos","Artigos Religiosos"
"# Todas as Categorias","Categoria - Balanças","Balanças"
"# Todas as Categorias","Categoria - Blocos para Anotação","Blocos para Anotação"
"# Todas as Categorias","Categoria - Calculadoras","Calculadoras"
"# Todas as Categorias","Categoria - Canecas","Canecas"
"# Todas as Categorias","Categoria - Canivetes","Canivetes"
"# Todas as Categorias","Categoria - Garrafas","Cantis"
"# Todas as Categorias","Categoria - Cantis para Whisky","Cantis para Whisky"
"# Todas as Categorias","Categoria - Chaveiros","Chaveiros"
"# Todas as Categorias","Categoria - Coqueteleiras","Coqueteleiras"
"# Todas as Categorias","Categoria - Espelhos","Espelhos"
"# Todas as Categorias","Categoria - Ferramentas","Ferramentas"
"# Todas as Categorias","Categoria - Garrafas","Garrafas"
"# Todas as Categorias","Categoria - Kits Churrascos","Kits Churrascos"
"# Todas as Categorias","Categoria - Kits Costuras","Kits Costuras"
"# Todas as Categorias","Categoria - Kits Cozinhas","Kits Cozinhas"
"# Todas as Categorias","Categoria - Kits Executivos","Kits Executivos"
"# Todas as Categorias","Kits Ferramentas","Kits Ferramentas"
"# Todas as Categorias","Categoria - Kits Manicures","Kits Manicures"
"# Todas as Categorias","Categoria - Pinceis para Maquiagem","Kits Pinceis"
"# Todas as Categorias","Categoria - Kits Pizzas","Kits Pizzas"
"# Todas as Categorias","Categoria - Kits Queijos","Kits Queijos"
"# Todas as Categorias","Categoria - Kits Vinhos","Kits Vinhos"
"# Todas as Categorias","Categoria - Lanternas","Lanternas"
"# Todas as Categorias","Categoria - Lupas","Lupas"
"# Todas as Categorias","Categoria - Mouse Pads","Mouse Pads"
"# Todas as Categorias","Categoria - Pinças","Pinças"
"# Todas as Categorias","Categoria - Pinceis para Maquiagem","Pinceis para Maquiagem"
"# Todas as Categorias","Categoria - Porta Batons","Porta Batons"
"# Todas as Categorias","Categoria - Porta Bolsas","Porta Bolsas"
"# Todas as Categorias","Categoria - Porta Canetas","Porta Canetas"
"# Todas as Categorias","Categoria - Porta Cartões","Porta Cartões"
"# Todas as Categorias","Categoria - Porta Celulares","Porta Celulares"
"# Todas as Categorias","Categoria - Porta Comprimidos","Porta Comprimidos"
"# Todas as Categorias","Categoria - Porta Copos","Porta Copos"
"# Todas as Categorias","Categoria - Porta Fotos","Porta Fotos"
"# Todas as Categorias","Categoria - Porta Perfumes","Porta Perfumes"
"# Todas as Categorias","Categoria - Porta Recados","Porta Recados"
"# Todas as Categorias","Categoria - Relógios","Relógios"
"# Todas as Categorias","Categoria - Saca-Rolhas","Saca Rolhas"
"# Todas as Categorias","Categoria - Garrafas","Squeezes"
"Ferramentas","Categoria - Alicates","Alicates"
"Ferramentas","Categoria - Ferramentas","# Todas as Ferramentas"
"Chaveiros","Categoria - Chaveiros","# Todos os Chaveiros"
"Linha Feminina","Espelhos de Bolso","Espelhos de Bolso"
"Linha Feminina","Categoria - Porta Bolsas","Porta Bolsas"
"Linha Feminina","Categoria - Porta Batons","Porta Batons"
"Diversos","Diversos","Diversos"
"Chaveiros","Artigos Religiosos - Chaveiros","Chaveiros Religiosos"
"Saúde e Beleza","Balanças para Uso Doméstico","Balanças para Uso Doméstico"
"Utensílios para Casa","Balanças para Cozinha","Balanças para Cozinha"
"Papelaria","Categoria - Blocos para Anotação","Blocos para Anotação"
"Papelaria","Categoria - Calculadoras","Calculadoras"
"Canecas","Categoria - Canecas","Canecas"
"Utensílios para Bar","Categoria - Cantis para Whisky","Cantis para Whisky"
"Garrafas","Garrafas","Garrafas"
"Squeezes","Squeezes","# Todos os Squeezes"
"Squeezes","Squeezes Dobráveis","Squeezes Dobráveis"
"Utensílios para Bar","Categoria - Coqueteleiras","Coqueteleiras"
"Utensílios para Bar","Categoria - Saca-Rolhas","Saca-Rolhas"
"Utensílios para Bar","Categoria - Kits Vinhos","Kits Vinhos"
"Utensílios para Casa","Categoria - Saca-Rolhas","Saca-Rolhas"
"Utensílios para Casa","Categoria - Kits Vinhos","Kits Vinhos"
"Utensílios para Casa","Categoria - Kits Churrascos","Kits Churrascos"
"Kits","Categoria - Kits Churrascos","Kits Churrascos"
"Kits","Categoria - Kits Costuras","Kits Costuras"
"Kits","Categoria - Kits Cozinhas","Kits Cozinhas"
"Kits","Categoria - Kits Executivos","Kits Executivos"
"Kits","Kits Ferramentas","Kits Ferramentas"
"Kits","Categoria - Kits Manicures","Kits Manicures"
"Kits","Categoria - Pinceis para Maquiagem","Kits Pinceis"
"Kits","Categoria - Kits Pizzas","Kits Pizzas"
"Kits","Categoria - Kits Queijos","Kits Queijos"
"Kits","Categoria - Kits Vinhos","Kits Vinhos"
"Papelaria","Categoria - Lupas","Lupas"
"Papelaria","Categoria - Mouse Pads","Mouse Pads"
"Papelaria","Categoria - Porta Canetas","Porta Canetas"
"Papelaria","Categoria - Porta Cartões","Porta Cartões"
"Papelaria","Categoria - Porta Celulares","Porta Celulares"
"Saúde e Beleza","Categoria - Porta Comprimidos","Porta Comprimidos"
"Utensílios para Casa","Categoria - Cantis para Whisky","Cantis para Whisky"
"Espelhos","Espelhos de Mesa","Espelhos de Mesa"
"Espelhos","Espelhos de Bolso","Espelhos de Bolso"
"Linha Feminina","Categoria - Pinças","Pinças"
"Saúde e Beleza","Categoria - Pinças","Pinças"
"Saúde e Beleza","Categoria - Porta Batons","Porta Batons"
"Linha Feminina","Categoria - Pinceis para Maquiagem","Pinceis para Maquiagem"
"Saúde e Beleza","Categoria - Pinceis para Maquiagem","Pinceis para Maquiagem"
"Utensílios para Casa","Categoria - Porta Copos","Porta Copos"
"Linha Feminina","Categoria - Porta Perfumes","Porta Perfumes"
"Saúde e Beleza","Categoria - Porta Perfumes","Porta Perfumes"
"Linha Feminina","Categoria - Kits Costuras","Kits Costuras"
"Saúde e Beleza","Categoria - Espelhos","Espelhos"
"Papelaria","Categoria - Porta Recados","Porta Recados"
"Papelaria","Categoria - Kits Executivos","Kits Executivos"
"Linha Feminina","Kits Manicures Femininos","Kits Manicures"
"Saúde e Beleza","Kits Manicures Femininos","Kits Manicures Femininos"
"Saúde e Beleza","Kits Manicures Masculinos","Kits Manicures Masculinos"
"Chaveiros","Chaveiros Coloridos","Chaveiros Coloridos"
"Chaveiros","Chaveiros Porta Fotos","Chaveiros Porta Fotos"
"Chaveiros","Chaveiros Giratórios","Chaveiros Giratórios"
"Utensílios para Casa","Categoria - Kits Costuras","Kits Costuras"
"Utensílios para Casa","Categoria - Kits Cozinhas","Kits Cozinhas"
"Utensílios para Casa","Categoria - Kits Pizzas","Kits Pizzas"
"Papelaria","Categoria - Relógios","Relógios"
"Papelaria","Categoria - Porta Fotos","Porta Fotos"
"Utensílios para Casa","Categoria - Porta Fotos","Porta Fotos"
"Utensílios para Casa","Categoria - Kits Queijos","Kits Queijos"
"Chaveiros","Chaveiros Abridores de Garrafas","Chaveiros Abridores de Garrafas"
"Chaveiros","Canivetes com Chaveiro","Chaveiros com Canivete"
"Ferramentas","Canivetes com Chaveiro","Canivetes com Chaveiro"
"Lanternas","Categoria - Lanternas","# Todas as Lanternas"
"Lanternas","Lanternas com Chaveiro","Lanternas com Chaveiro"
"Chaveiros","Lanternas com Chaveiro","Chaveiros com Lanterna"
"Ferramentas","Categoria - Canivetes","Canivetes"
"Ferramentas","Kits Ferramentas","Kits Ferramentas"
"Lanternas","Ferramentas com Lanterna","Lanternas com Ferramentas"
"Ferramentas","Ferramentas com Lanterna","Ferramentas com Lanterna"
"Lanternas","Luminárias para Leitura","Luminárias para Leitura"
"Lanternas","Lanternas Portáteis","Lanternas Portáteis"
"Squeezes","Squeezes de Inox","Squeezes de Inox"
"Squeezes","Squeezes de Plástico","Squeezes de Plástico"
"Chaveiros","Chaveiros Lisos","Chaveiros Lisos"
"Chaveiros","Chaveiros Formato de Objeto","Chaveiros Formato de Objeto"
"Linha Feminina","Chaveiros Linha Feminina","Chaveiros Linha Feminina"
"Chaveiros","Categoria - Kits Executivos","Chaveiros Kit Executivo"
"Squeezes","Garrafas","Garrafas"
"Cantis para Whisky","Categoria - Cantis para Whisky","Cantis para Whisky"
"Utensílios para Casa","Garrafas","Garrafas"
"Chaveiros","Chaveiros com Bússola","Chaveiros com Bússola"
"Utensílios para Casa","Categoria - Balanças","Balanças (todas)"
"Lanternas","Lanternas com Ímã","Lanternas com Ímã"
"Chaveiros","Chaveiros Abaulados","Chaveiros Abaulados"
"Utensílios para Casa","Moedores de Pimenta","Moedores de Pimenta"
"Chaveiros","Chaveiros com Ferramentas","Chaveiros com Ferramentas"
"# Todas as Categorias","Chaveiros N. Sra. Aparecida","Chaveiros N. Sra. Aparecida"
"Chaveiros","Chaveiros N. Sra. Aparecida","Chaveiros N. Sra. Aparecida"
"Utensílios para Casa","Categoria - Coqueteleiras","Coqueteleiras"
"Utensílios para Bar","Categoria - Porta Copos","Porta Copos"
"Utensílios para Bar","Copos","Copos"
"# Todas as Categorias","Moedores de Pimenta","Moedores de Pimenta"
"Papelaria","Cadernetas para Anotação","Cadernetas para Anotação"
"Utensílios para Bar","Abridores de Garrafas","Abridores de Garrafas"
"# Todas as Categorias","Abridores de Garrafas","Abridores de Garrafas"
"# Todas as Categorias","Cadernetas para Anotação","Cadernetas para Anotação"
"# Todas as Categorias","Power Banks","Power Banks"
"Power Banks","Power Banks","Power Banks"
